trip_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_distance_km,hour,weekday,weather,traffic_level,trip_duration_minutes,created_at
TRIP00528,40.801834,-73.834051,40.689163,-73.872286,12.67,20,3,cloudy,medium,41.19,2026-08-24T20:15:00Z
TRIP00095,40.782317,-73.82576,40.732624,-74.01602,7.24,4,4,cloudy,high,32.26,2026-08-11T04:15:00Z
TRIP00044,40.802207,-73.844582,40.699836,-73.940837,2.5,22,5,cloudy,high,32.62,2026-08-16T22:15:00Z
TRIP00590,40.837177,-73.892724,40.600579,-73.896548,19.27,2,2,clear,medium,53.68,2026-08-02T02:15:00Z
TRIP00259,40.616143,-73.999973,40.78075,-73.897251,27.06,11,4,snow,high,93.48,2026-08-07T11:15:00Z
TRIP00127,40.627039,-74.003112,40.751117,-73.852676,8.1,17,0,clear,high,44.47,2026-08-15T17:15:00Z
TRIP00147,40.682913,-73.812397,40.707334,-73.996727,6.47,23,4,cloudy,high,40.2,2026-08-07T23:15:00Z
TRIP00129,40.830638,-73.832106,40.778727,-73.985073,19.28,23,1,rain,high,70.98,2026-08-17T23:15:00Z
TRIP00161,40.784486,-73.928664,40.601362,-73.81686,23.06,15,0,cloudy,low,55.51,2026-08-21T15:15:00Z
TRIP00358,40.678474,-73.889054,40.611848,-74.033239,5.07,2,3,cloudy,medium,26.63,2026-08-22T02:15:00Z
TRIP00596,40.709126,-73.954322,40.684217,-73.861793,13.79,11,5,clear,low,39.05,2026-08-08T11:15:00Z
TRIP00303,40.672365,-73.820001,40.748611,-73.950164,7.02,2,2,cloudy,high,41.38,2026-08-23T02:15:00Z
TRIP00542,40.664946,-74.029766,40.6252,-73.838075,10.85,11,5,rain,low,39.89,2026-08-10T11:15:00Z
TRIP00499,40.630526,-73.932645,40.706925,-73.981255,24.43,11,6,clear,medium,64.54,2026-08-23T11:15:00Z
TRIP00062,40.747248,-73.967852,40.753835,-73.889783,13.37,13,4,snow,low,48.42,2026-08-06T13:15:00Z
TRIP00541,40.741934,-73.871617,40.680842,-73.874066,20.69,4,0,clear,high,66.38,2026-08-09T04:15:00Z
TRIP00059,40.811899,-73.910942,40.701768,-73.855769,17.76,16,0,snow,low,64.41,2026-08-03T16:15:00Z
TRIP00323,40.820636,-74.026705,40.844321,-73.854771,3.77,3,5,rain,low,21.11,2026-08-15T03:15:00Z
TRIP00130,40.722585,-73.823904,40.794463,-73.885995,25.14,3,3,rain,medium,74.95,2026-08-18T03:15:00Z
TRIP00308,40.70588,-73.996742,40.735671,-74.025141,10.5,18,0,cloudy,low,35.01,2026-08-28T18:15:00Z
TRIP00371,40.673083,-73.997534,40.828775,-73.970198,21.33,18,4,clear,low,56.98,2026-08-07T18:15:00Z
TRIP00160,40.639121,-74.021594,40.628202,-73.977462,4.1,3,6,snow,high,40.83,2026-08-20T03:15:00Z
TRIP00112,40.781981,-73.945148,40.671234,-73.822741,26.79,21,5,snow,low,78.16,2026-08-28T21:15:00Z
TRIP00424,40.770013,-74.01101,40.672766,-73.877965,4.22,7,3,clear,medium,32.42,2026-08-04T07:15:00Z
TRIP00011,40.704447,-73.925882,40.838889,-73.804248,16.42,15,4,rain,low,46.52,2026-08-11T15:15:00Z
TRIP00152,40.752395,-73.872964,40.619122,-73.848065,25.62,22,2,snow,high,86.05,2026-08-12T22:15:00Z
TRIP00437,40.639482,-73.993742,40.677844,-73.933507,14.99,12,5,cloudy,medium,45.17,2026-08-17T12:15:00Z
TRIP00595,40.821187,-73.872998,40.707665,-74.037494,10.11,13,2,cloudy,low,29.98,2026-08-07T13:15:00Z
TRIP00418,40.824508,-73.895436,40.73821,-73.815087,4.93,21,5,cloudy,medium,27.98,2026-08-26T21:15:00Z
TRIP00586,40.700919,-73.803143,40.805945,-73.844971,4.3,23,5,rain,medium,33.98,2026-08-26T23:15:00Z
TRIP00229,40.630875,-73.825513,40.719295,-73.999394,23.58,5,0,clear,medium,62.02,2026-08-05T05:15:00Z
TRIP00523,40.796036,-73.86965,40.607275,-74.008897,13.9,12,0,cloudy,medium,42.06,2026-08-19T12:15:00Z
TRIP00569,40.756922,-73.817841,40.716494,-73.906446,11.39,15,1,snow,medium,48.91,2026-08-09T15:15:00Z
TRIP00403,40.76845,-73.859914,40.667301,-74.028035,20.45,7,0,clear,high,70.65,2026-08-11T07:15:00Z
TRIP00553,40.677599,-73.805995,40.681266,-73.885298,16.18,5,2,rain,medium,48.23,2026-08-21T05:15:00Z
TRIP00194,40.683622,-74.012657,40.803315,-73.895561,21.84,12,3,clear,low,50.54,2026-08-26T12:15:00Z
TRIP00484,40.736439,-74.038093,40.715253,-73.952741,12.17,14,2,snow,high,59.24,2026-08-08T14:15:00Z
TRIP00376,40.832015,-73.903923,40.736042,-73.990034,23.06,5,5,clear,medium,58.18,2026-08-12T05:15:00Z
TRIP00387,40.679107,-73.826439,40.662316,-73.925441,12.69,12,2,cloudy,high,52.83,2026-08-23T12:15:00Z
TRIP00094,40.7024,-73.938679,40.795645,-73.909542,16.62,15,6,rain,medium,49.59,2026-08-10T15:15:00Z
TRIP00515,40.708655,-73.924298,40.710256,-74.040624,8.3,17,3,rain,medium,43.05,2026-08-11T17:15:00Z
TRIP00413,40.810119,-73.916277,40.835917,-73.801629,7.58,12,6,cloudy,low,27.17,2026-08-21T12:15:00Z
TRIP00084,40.727865,-73.950112,40.773908,-73.891512,7.83,19,0,clear,medium,31.19,2026-08-28T19:15:00Z
TRIP00310,40.738394,-73.813405,40.802313,-73.992803,18.0,5,5,snow,low,61.41,2026-08-02T05:15:00Z
TRIP00471,40.655415,-73.980878,40.68909,-74.029246,6.94,2,1,cloudy,high,35.57,2026-08-23T02:15:00Z
TRIP00213,40.607429,-73.903102,40.740688,-73.843494,12.94,2,4,rain,low,37.99,2026-08-17T02:15:00Z
TRIP00495,40.669614,-73.984839,40.674859,-74.010328,1.24,7,1,rain,low,16.27,2026-08-19T07:15:00Z
