trip_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_distance_km,hour,weekday,weather,traffic_level,trip_duration_minutes
D00001,40.717180324116974,-74.04973144368867,40.74997935983901,-74.00584315741018,15.07,7,0,snow,medium,72.18
D00002,40.6704113445747,-73.91950765661954,40.70946362077095,-73.81662445006073,41.18,17,5,cloudy,high,132.48
D00003,40.774506624915546,-73.95162095978347,40.74734462700583,-73.81000957721648,22.35,16,3,rain,high,95.53
D00004,40.74792327515177,-74.03872365680837,40.65823427754998,-73.83797155331385,31.67,19,0,clear,high,103.28
D00005,40.78971041876478,-73.91349658763838,40.65299705501659,-73.92174404286432,8.49,8,3,rain,high,62.39
D00006,40.60675723228916,-74.03130153617505,40.69455552699425,-73.91709118868154,32.78,20,3,snow,high,110.61
D00007,40.6225791989649,-73.85080324473162,40.814112281023256,-73.95849391876794,5.55,9,2,cloudy,high,49.73
D00008,40.843203997092445,-73.98524378516383,40.66671888842115,-73.89172668644557,8.33,20,1,rain,high,56.65
D00009,40.68843747294488,-73.89719118472514,40.7263221552093,-73.87475152220428,3.39,8,4,clear,high,41.24
D00010,40.73345363097503,-73.84586604947833,40.63314860987997,-73.89879310709149,7.22,16,1,rain,high,66.23
D00011,40.71840656196169,-73.98407840727587,40.6717828726886,-74.02751706641209,13.11,17,5,cloudy,high,68.43
D00012,40.607353259896776,-74.04798243684809,40.63527880397227,-73.83186084883842,28.53,7,0,clear,high,101.52
D00013,40.844170109356256,-74.03127466430314,40.834094685435595,-73.97182116633712,33.72,19,0,cloudy,high,110.82
D00014,40.75008692990164,-73.96867645220293,40.64936117886135,-73.82036384523605,19.54,9,4,rain,medium,77.24
D00015,40.74372064157751,-73.94802127312347,40.646254779651706,-73.90926887210549,30.4,8,1,snow,medium,107.18
D00016,40.81201027453912,-74.01109746255854,40.72472880062506,-73.94999558374224,35.49,16,5,clear,high,116.4
D00017,40.81815371202234,-73.9529513880809,40.71149213332874,-73.81893563889297,32.14,9,2,rain,high,112.87
D00018,40.81705314822767,-73.95623585227911,40.78806693664998,-74.0463094061939,13.51,20,0,cloudy,high,62.91
D00019,40.713259680447884,-73.97024134198452,40.801462736056614,-73.86653202093574,18.12,8,1,clear,high,75.68
